Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-11,182.9,182.96,181.1201,182.25,6038891.0,0.0,1.0,178.89798092761725,178.9566680728095,177.15702676549012,178.26220352136826,6038891.0
2017-12-08,182.5,183.9,182.16,183.41,5091538.0,0.0,1.0,178.50673329300247,179.87610001415428,178.1741728035799,179.39682166175118,5091538.0
2017-12-07,180.05,182.58,179.77,182.0,5484611.0,0.0,1.0,176.11034153098686,178.58498281992541,175.8364681867565,178.01767374973397,5484611.0
2017-12-06,180.25,182.15,178.68,180.8,6891093.0,0.0,1.0,176.30596534829422,178.16439161271452,174.7703183824311,176.8439308458896,6891093.0
2017-12-05,184.79,184.91,182.2589,182.85,6347228.0,0.0,1.0,180.7466260011722,180.86400029155664,178.2709087812384,178.8490749732904,6347228.0
2017-12-04,183.19,186.31,183.19,184.9,6192507.0,0.0,1.0,179.18163546271302,182.23336701270844,179.18163546271302,180.8542191006913,6192507.0
2017-12-01,180.32,180.6,176.7,180.42,4682482.0,0.0,1.0,176.3744336843518,176.64830702858217,172.83364259108782,176.47224559300548,4682482.0
2017-11-30,178.07,180.67,177.41,179.82,9179321.0,0.0,1.0,174.17366573964355,176.71677536463974,173.5281071425291,175.8853741410833,9179321.0
2017-11-29,176.57,178.43,175.68,177.25,4901810.0,0.89,1.0,172.70648710983806,174.5257886107969,171.83596112282018,173.37160808868322,4901810.0
2017-11-28,174.89,176.77,172.9911,176.57,6048963.0,0.0,1.0,170.2086030011778,172.03827979025792,168.36053212097346,171.84363332333447,6048963.0
2017-11-27,172.87,174.91,172.38,174.16,4539428.0,0.0,1.0,168.24267368525136,170.22806764787015,167.76578984128898,169.49814339690738,4539428.0
2017-11-24,172.11,173.1,171.7425,172.33,1853587.0,0.0,1.0,167.50301711094238,168.46651712221328,167.1453542279706,167.71712822455814,1853587.0
2017-11-22,172.89,172.94,172.04,172.06,4132897.0,0.0,1.0,168.26213833194367,168.31079994867451,167.43489084751914,167.4543554942115,4132897.0
2017-11-21,170.53,172.86,170.15,172.86,6228970.0,0.0,1.0,165.96531002224742,168.2329413619052,165.5954817350929,168.2329413619052,6228970.0
